Symbol,Name,Sector,Industry
BIAF,bioAffinity Technologies Inc. Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIAFW,bioAffinity Technologies Inc. Warrant,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BIIB,Biogen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BILL,BILL Holdings Inc. Common Stock,Technology,EDP Services
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BIO/B,Bio-Rad Laboratories Inc.,,
BIOA,BioAge Labs Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BIRD,Allbirds Inc. Class A Common Stock,Consumer Discretionary,Apparel
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BIVI,BioVie Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BIVIW,BioVie Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
BIXI,Bitcoin Infrastructure Acquisition Corp Ltd. Class A Ordinary Shares,,
BIXIU,Bitcoin Infrastructure Acquisition Corp Ltd. Unit ,Finance,Blank Checks
BIXIW,Bitcoin Infrastructure Acquisition Corp Ltd. Warrant,,
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BJDX,Bluejay Diagnostics Inc. Common Stock,Health Care,Medical/Dental Instruments
BJRI,BJ's Restaurants Inc. Common Stock,Consumer Discretionary,Restaurants
BK,The Bank of New York Mellon Corporation Common Stock,Finance,Major Banks
BK^K,The Bank Of New York Mellon Corporation  Depositary Shares each representing a 1/4000th interest in a share of Series K Noncumulative Perpetual Preferred Stock,,
BKD,Brookdale Senior Living Inc. Common Stock,Health Care,Hospital/Nursing Management
BKE,Buckle Inc. (The) Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,Utilities,Electric Utilities: Central
BKHA,Black Hawk Acquisition Corporation Class A Ordinary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKHAR,Black Hawk Acquisition Corporation Rights,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BKKT,Bakkt Inc. Class A Common Stock,Finance,Finance: Consumer Services
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery
BKSY,BlackSky Technology Inc. Class A Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
BKT,BlackRock Income Trust Inc. (The),Finance,Investment Bankers/Brokers/Service
BKTI,BK Technologies Corporation Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
BKU,BankUnited Inc. Common Stock,Finance,Savings Institutions
BKV,BKV Corporation Common Stock,Energy,Oil & Gas Production
BKYI,BIO-key International Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BL,BlackLine Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLBD,Blue Bird Corporation Common Stock,Consumer Discretionary,Construction/Ag Equipment/Trucks
BLD,TopBuild Corp. Common Stock,Consumer Discretionary,Engineering & Construction
BLDR,Builders FirstSource Inc. Common Stock,Consumer Discretionary,RETAIL: Building Materials
BLFS,BioLife Solutions Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLIN,Bridgeline Digital Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLK,BlackRock Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
BLKB,Blackbaud Inc. Common Stock,Technology,Computer Software: Prepackaged Software
BLLN,BillionToOne Inc. Class A Common Stock,Health Care,Medical Specialities
BLMN,Bloomin' Brands Inc. Common Stock,Consumer Discretionary,Restaurants
BLND,Blend Labs Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
BLNE,Beeline Holdings Inc. Common Stock,Finance,Finance: Consumer Services
BLNK,Blink Charging Co. Common Stock,Consumer Discretionary,Industrial Specialties
BLRK,Bluerock Acquisition Corp. Class A Ordinary Shares,,
BLRKU,Bluerock Acquisition Corp. Unit,,
BLTE,Belite Bio Inc American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BLUW,Blue Water Acquisition Corp. III Class A Ordinary Shares,,
BLUWW,Blue Water Acquisition Corp. III Warrant.,,
BLW,Blackrock Limited Duration Income Trust,Consumer Discretionary,Other Consumer Services
BLZE,Backblaze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BLZR,Trailblazer Acquisition Corp. Class A Ordinary Shares,Finance,Blank Checks
BLZRU,Trailblazer Acquisition Corp. Unit,,
BLZRW,Trailblazer Acquisition Corp. Warrant,Finance,Blank Checks
BMBL,Bumble Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
BME,Blackrock Health Sciences Trust,Finance,Trusts Except Educational Religious and Charitable
BMEA,Biomea Fusion Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BMEZ,BlackRock Health Sciences Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BMI,Badger Meter Inc. Common Stock,Industrials,Industrial Machinery/Components
BML^G,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),,
BML^H,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),,
BML^J,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4),,
BML^L,Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5),,
BMNR,BitMine Immersion Technologies Inc. Common Stock,Finance,Finance: Consumer Services
BMRA,Biomerica Inc. Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BMRC,Bank of Marin Bancorp Common Stock,Finance,Major Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BNAI,Brand Engagement Network Inc. Common Stock,Technology,EDP Services
BNAIW,Brand Engagement Network Inc. Warrant,Technology,EDP Services
BNBX,BNB Plus Corp. Common Stock,Consumer Discretionary,Other Consumer Services
BNC,CEA Industries Inc. Common Stock,Industrials,Industrial Machinery/Components
BNCWW,CEA Industries Inc. Warrant,,
BNCWZ,CEA Industries Inc. Warrant,Industrials,Industrial Machinery/Components
BNED,Barnes & Noble Education Inc Common Stock,Consumer Discretionary,Other Specialty Stores
BNGO,Bionano Genomics Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BNKK,Bonk Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
BNL,Broadstone Net Lease Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BNTC,Benitec Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BNZI,Banzai International Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BNZIW,Banzai International Inc. Warrant,Technology,Computer Software: Prepackaged Software
BOC,Boston Omaha Corporation Class A Common Stock,Finance,Real Estate
BODI,The Beachbody Company Inc. Class A Common Stock,Consumer Discretionary,Other Consumer Services
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BOF,BranchOut Food Inc. Common Stock,Consumer Staples,Packaged Foods
BOH,Bank of Hawaii Corporation Common Stock,Finance,Major Banks
BOH^A,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 4.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,,
BOH^B,Bank of Hawaii Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 8.000% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B,,
BOKF,BOK Financial Corporation Common Stock,Finance,Major Banks
BOLD,Boundless Bio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BOLT,Bolt Biotherapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BOOM,DMC Global Inc. Common Stock,Industrials,Industrial Specialties
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
BOTJ,Bank of the James Financial Group Inc. Common Stock,Finance,Major Banks
BOW,Bowhead Specialty Holdings Inc. Common Stock,Finance,Property-Casualty Insurers
BOX,Box Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BOXL,Boxlight Corporation Class A Common Stock,Real Estate,Other Consumer Services
BPAC,Blueport Acquisition Ltd Class A Ordinary Shares,,
BPACR,Blueport Acquisition Ltd Rights,,
BPOP,Popular Inc. Common Stock,Finance,Major Banks
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Finance,Major Banks
BPRN,Princeton Bancorp Inc. Common Stock (PA),Finance,Major Banks
BR,Broadridge Financial Solutions Inc. Common Stock,Real Estate,Real Estate
BRBR,BellRing Brands Inc. Common Stock ,Consumer Staples,Packaged Foods
BRBS,Blue Ridge Bankshares Inc. Common Stock,Finance,Major Banks
BRC,Brady Corporation Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries
BRCB,Black Rock Coffee Bar Inc. Class A Common Stock,Consumer Discretionary,Restaurants
BRCC,BRC Inc. Class A Common Stock,Consumer Staples,Beverages (Production/Distribution)
BRFH,Barfresh Food Group Inc. Common Stock,Consumer Staples,Packaged Foods
BRID,Bridgford Foods Corporation Common Stock,Consumer Staples,Specialty Foods
BRK/A,Berkshire Hathaway Inc.,,
BRK/B,Berkshire Hathaway Inc.,,
BRKR,Bruker Corporation Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
BRKRP,Bruker Corporation 6.375% Mandatory Convertible Preferred Stock Series A,Industrials,Biotechnology: Laboratory Analytical Instruments
BRLT,Brilliant Earth Group Inc. Class A Common Stock,Consumer Discretionary,Consumer Specialties
BRN,Barnwell Industries Inc. Common Stock,Energy,Oil & Gas Production
BRO,Brown & Brown Inc. Common Stock,Finance,Specialty Insurers
BROS,Dutch Bros Inc. Class A Common Stock,Consumer Discretionary,Restaurants
BRR,ProCap Financial Inc. Common Stock,Finance,Finance: Consumer Services
BRRWW,ProCap Financial Inc. Warrant,Finance,Finance: Consumer Services
BRSL,Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21 2025. Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation
BRSP,BrightSpire Capital Inc. Class A Common Stock,Real Estate,Real Estate Investment Trusts
BRT,BRT Apartments Corp. (MD) Common Stock,Real Estate,Real Estate Investment Trusts
BRTX,BioRestorative Therapies Inc. Common Stock (NV),Health Care,Managed Health Care
BRUN,Boost Run Inc. Class A Common Stock,Technology,EDP Services
BRUNW,Boost Run Inc. Warrant,Technology,EDP Services
BRW,Saba Capital Income & Opportunities Fund SBI,Finance,Trusts Except Educational Religious and Charitable
BRX,Brixmor Property Group Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BRZE,Braze Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
BSBK,Bogota Financial Corp. Common Stock,Finance,Banks
BSET,Bassett Furniture Industries Incorporated Common Stock,Consumer Discretionary,Home Furnishings
BSL,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy,Oil & Gas Production
BSRR,Sierra Bancorp Common Stock,Finance,Major Banks
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,Finance,Finance Companies
BSTZ,BlackRock Science and Technology Term Trust Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
BSVN,Bank7 Corp. Common stock,Finance,Major Banks
BSX,Boston Scientific Corporation Common Stock,Health Care,Medical/Dental Instruments
BSY,Bentley Systems Incorporated Class B Common Stock,Technology,Computer Software: Prepackaged Software
BTAI,BioXcel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
BTBD,BT Brands Inc. Common Stock,Consumer Discretionary,Restaurants
BTBDW,BT Brands Inc. Warrant,Consumer Discretionary,Restaurants
BTBT,Bit Digital Inc. Ordinary Shares,Finance,Finance: Consumer Services
BTCS,BTCS Inc. Common Stock,Finance,Finance: Consumer Services
BTM,Bitcoin Depot Inc. Class A Common Stock,Finance,Finance: Consumer Services
BTMD,Biote Corp. Class A Common Stock,Health Care, Medicinal Chemicals and Botanical Products 
BTMWW,Bitcoin Depot Inc. Warrant,Finance,Finance: Consumer Services
BTO,John Hancock Financial Opportunities Fund Common Stock,Finance,Investment Managers
BTOC,Armlogi Holding Corp. Common Stock,Consumer Discretionary,Office Equipment/Supplies/Services
BTOG,Bit Origin Limited Class A Ordinary Shares,Finance,Finance: Consumer Services
BTSG,BrightSpring Health Services Inc. Common Stock,Health Care,Medical/Nursing Services
BTSGU,BrightSpring Health Services Inc. Tangible Equity Unit,Health Care,Medical/Nursing Services
BTT,BlackRock Municipal 2030 Target Term Trust,Finance,Investment Managers
BTU,Peabody Energy Corporation Common Stock ,Energy,Coal Mining
BTX,BlackRock Technology and Private Equity Term Trust Common Shares of Beneficial Interest,,
BTZ,BlackRock Credit Allocation Income Trust,Finance,Finance Companies
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,Finance,Trusts Except Educational Religious and Charitable
BULL,Webull Corporation Class A Ordinary Shares,Finance,Investment Bankers/Brokers/Service
BULLW,Webull Corporation Warrants,Finance,Investment Bankers/Brokers/Service
BURL,Burlington Stores Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
BURU,Nuburu Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
BUSE,First Busey Corporation Class A Common Stock,Finance,Major Banks
BUSEP,First Busey Corporation Depositary Shares Each Representing a 1/40thInterest in a Share of 8.25% Fixed-Rate Series B Non-Cumulative Perpetual Preferred Stock $0.001 par value,Finance,Major Banks
BV,BrightView Holdings Inc. Common Stock,Real Estate,Real Estate
BVFL,BV Financial Inc. Common Stock,Finance,Savings Institutions
BVS,Bioventus Inc. Class A Common Stock,Health Care,Medical/Dental Instruments
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Industrials,Building Products
BW^A,Babcock & Wilcox Enterprises Inc. 7.75% Series A Cumulative Perpetual Preferred Stock,,
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
BWB,Bridgewater Bancshares Inc. Common Stock,Finance,Major Banks
BWBBP,Bridgewater Bancshares Inc. Depositary Shares Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock Series A,Finance,Major Banks
BWEN,Broadwind Inc. Common Stock,Telecommunications,Metal Fabrications
BWFG,Bankwell Financial Group Inc. Common Stock,Finance,Major Banks
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,Finance,Finance/Investors Services
BWIN,The Baldwin Insurance Group Inc. Class A Common Stock,Finance,Specialty Insurers
BWMN,Bowman Consulting Group Ltd. Common Stock,Consumer Discretionary,Professional Services
BWNB,Babcock & Wilcox Enterprises Inc. 6.50% Senior Notes due 2026,Industrials,Building Products
BWXT,BWX Technologies Inc. Common Stock,Industrials,Industrial Machinery/Components
BX,Blackstone Inc. Common Stock,Finance,Investment Managers
BXC,Bluelinx Holdings Inc. Common Stock,Consumer Discretionary,Wholesale Distributors
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BXP,BXP Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BY,Byline Bancorp Inc. Common Stock,Finance,Major Banks
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,Hotels/Resorts
BYFC,Broadway Financial Corporation Class A Common Stock,Finance,Savings Institutions
BYND,Beyond Meat Inc. Common Stock,Consumer Staples,Packaged Foods
BYRN,Byrna Technologies Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
BYSI,BeyondSpring Inc. Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
BZAI,Blaize Holdings Inc. Common Stock,Finance,Blank Checks
BZAIW,Blaize Holdings Inc. Warrants,Finance,Blank Checks
BZFD,BuzzFeed Inc. Class A Common Stock,Consumer Discretionary,Telecommunications Equipment
BZFDW,BuzzFeed Inc. Warrant,Consumer Discretionary,Telecommunications Equipment
BZH,Beazer Homes USA Inc. Common Stock,Consumer Discretionary,Homebuilding
C,Citigroup Inc. Common Stock,Finance,Major Banks
C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS),,
C^R,Citigroup Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.250% Noncumulative Preferred Stock Series II,,
CABA,Cabaletta Bio Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CABO,Cable One Inc. Common Stock,Telecommunications,Cable & Other Pay Television Services
CABR,Caring Brands Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
CAC,Camden National Corporation Common Stock,Finance,Major Banks
CACC,Credit Acceptance Corporation Common Stock,Finance,Finance: Consumer Services
CACI,CACI International Inc. Class A Common Stock,Technology,EDP Services
CADL,Candel Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CAEP,Cantor Equity Partners III Inc. Class A Ordinary Shares,,
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,Finance,Investment Managers
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,Health Care,Other Pharmaceuticals
CAI,Caris Life Sciences Inc. Common Stock,Health Care,Medical Specialities
CAIIU,Collective Acquisition Corp. II Units,,
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Discretionary,Restaurants
CAL,Caleres Inc. Common Stock,Consumer Discretionary,Shoe Manufacturing
CALC,CalciMedica Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CALM,Cal-Maine Foods Inc. Common Stock,Consumer Staples,Farming/Seeds/Milling
CALX,Calix Inc Common Stock,Consumer Discretionary,Telecommunications Equipment
CALY,Callaway Golf Company Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
CAMP,CAMP4 Therapeutics Corporation Common Stock,,
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,Energy,Oil Refining/Marketing
CAPN,Cayson Acquisition Corp Ordinary shares,,
CAPNR,Cayson Acquisition Corp Right,Finance,Blank Checks
CAPR,Capricor Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CAPS,Capstone Holding Corp. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CAQ,Cambridge Acquisition Corp. Class A Ordinary Shares,,
CAQUU,Cambridge Acquisition Corp. Unit,,
CAQUW,Cambridge Acquisition Corp. Warrants,,
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,Rental/Leasing Companies
CARE,Carter Bankshares Inc. Common Stock,Finance,Major Banks
CARG,CarGurus Inc. Class A Common Stock ,Technology,EDP Services
CARL,Carlsmed Inc. Common Stock,Health Care,Medical/Dental Instruments
CARR,Carrier Global Corporation Common Stock ,Industrials,Industrial Machinery/Components
CARS,Cars.com Inc. Common Stock ,Technology,EDP Services
CART,Maplebear Inc. Common Stock,Real Estate,Real Estate
CASH,Pathward Financial Inc. Common Stock,Finance,Major Banks
CASS,Cass Information Systems Inc Common Stock,Real Estate,Real Estate
CAST,FreeCast Inc. Class A Common Stock,Technology,EDP Services
CASY,Casey's General Stores Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
CATO,Cato Corporation (The) Class A Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CATX,Perspective Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments
CATY,Cathay General Bancorp Common Stock,Finance,Major Banks
CAVA,CAVA Group Inc. Common Stock,Consumer Discretionary,Restaurants
CBAN,Colony Bankcorp Inc. Common Stock,Finance,Major Banks
CBC,Central Bancompany Inc. Class A Common Stock,,
CBFV,CB Financial Services Inc. Common Stock,Finance,Major Banks
CBIO,Crescent Biopharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CBK,Commercial Bancgroup Inc. Common Stock,Finance,Major Banks
CBL,CBL & Associates Properties Inc. Common Stock,Real Estate,Real Estate Investment Trusts
CBLL,CeriBell Inc. Common Stock,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CBNK,Capital Bancorp Inc. Common Stock,Finance,Major Banks
CBRE,CBRE Group Inc Common Stock Class A,Finance,Real Estate
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Discretionary,Restaurants
CBSH,Commerce Bancshares Inc. Common Stock,Finance,Major Banks
CBT,Cabot Corporation Common Stock,Industrials,Major Chemicals
CBU,Community Financial System Inc. Common Stock,Finance,Major Banks
CBUS,Cibus Inc. Class A Common Stock,Industrials,Agricultural Chemicals
CBZ,CBIZ Inc. Common Stock,Real Estate,Real Estate
CC,Chemours Company (The) Common Stock,Industrials,Major Chemicals
CCAP,Crescent Capital BDC Inc. Common stock,Finance,Finance: Consumer Services
CCB,Coastal Financial Corporation Common Stock,Finance,Major Banks
CCBG,Capital City Bank Group Common Stock,Finance,Major Banks
CCC,CCC Intelligent Solutions Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCCC,C4 Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,Finance,Trusts Except Educational Religious and Charitable
CCEL,Cryo-Cell International Inc. Common Stock,Health Care,Misc Health and Biotechnology Services
CCI,Crown Castle Inc. Common Stock,Real Estate,Real Estate Investment Trusts
CCII,Cohen Circle Acquisition Corp. II Class A Ordinary Shares,,
CCIIU,Cohen Circle Acquisition Corp. II Unit,,
CCIIW,Cohen Circle Acquisition Corp. II Warrant,,
CCIX,Churchill Capital Corp IX Ordinary Shares,Technology,EDP Services
CCIXW,Churchill Capital Corp IX Warrant,Technology,EDP Services
CCK,Crown Holdings Inc.,Industrials,Containers/Packaging
CCL,Carnival Corporation Ltd. Common Shares,Consumer Discretionary,Marine Transportation
CCLD,CareCloud Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCLDO,CareCloud Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock,Technology,Computer Software: Prepackaged Software
CCNE,CNB Financial Corporation Common Stock,Finance,Major Banks
CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,Finance,Major Banks
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,Consumer Discretionary,Advertising
CCOI,Cogent Communications Holdings Inc.,Consumer Discretionary,Telecommunications Equipment
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,Consumer Discretionary,Professional Services
CCS,Century Communities Inc. Common Stock,Consumer Discretionary,Homebuilding
CCSI,Consensus Cloud Solutions Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CCXI,Churchill Capital Corp XI Class A Ordinary Shares,,
CCXIU,Churchill Capital Corp XI Units,Finance,Blank Checks
CCXIW,Churchill Capital Corp XI Warrants,,
CCZ,Comcast Holdings ZONES,Telecommunications,Cable & Other Pay Television Services
CDE,Coeur Mining Inc. Common Stock,Basic Materials,Precious Metals
CDIO,Cardio Diagnostics Holdings Inc. Common stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CDIOW,Cardio Diagnostics Holdings Inc. Warrant,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CDLX,Cardlytics Inc. Common Stock,Technology,Computer Software: Programming Data Processing
CDNA,CareDx Inc. Common Stock,Health Care,Medical Specialities
CDNL,Cardinal Infrastructure Group Inc. Class A Common Stock,Industrials,Military/Government/Technical
CDNS,Cadence Design Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CDP,COPT Defense Properties Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
CDR^B,Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,,
CDR^C,Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock,,
CDRE,Cadre Holdings Inc. Common Stock,Health Care,Industrial Specialties
CDT,CDT Equity Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CDTTW,CDT Equity Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
CDW,CDW Corporation Common Stock,Technology,Retail: Computer Software & Peripheral Equipment
CDXS,Codexis Inc. Common Stock,Industrials,Major Chemicals
CDZI,CADIZ Inc. Common Stock,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,Utilities,Water Supply
CE,Celanese Corporation Common Stock,Industrials,Major Chemicals
CECO,CECO Environmental Corp. Common Stock,Industrials,Pollution Control Equipment
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock,Finance,Finance Companies
CEG,Constellation Energy Corporation Common Stock ,Utilities,Electric Utilities: Central
CELC,Celcuity Inc. Common Stock,Health Care,Medical Specialities
CELH,Celsius Holdings Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution)
CELU,Celularity Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
CELUW,Celularity Inc. Warrant,Health Care,Biotechnology: Pharmaceutical Preparations
CELZ,Creative Medical Technology Holdings Inc. Common Stock,Finance,Finance: Consumer Services
CENT,Central Garden & Pet Company Common Stock,Consumer Discretionary,Consumer Specialties
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,Consumer Discretionary,Consumer Specialties
CENX,Century Aluminum Company Common Stock,Industrials,Aluminum
CEPF,Cantor Equity Partners IV Inc. Class A Ordinary Shares,Finance,Blank Checks
CEPO,Cantor Equity Partners I Inc. Class A Ordinary Shares,Finance,Blank Checks
CEPS,Cantor Equity Partners VI Inc. Class A Ordinary Shares,Finance,Blank Checks
CEPT,Cantor Equity Partners II Inc. Class A Ordinary Share,Finance,Blank Checks
CEPV,Cantor Equity Partners V Inc. Class A Ordinary Shares,,
CERS,Cerus Corporation Common Stock,Technology,EDP Services
CERT,Certara Inc. Common Stock,Technology,Computer Software: Prepackaged Software
CET,Central Securities Corporation Common Stock,Finance,Finance/Investors Services
CETX,Cemtrex Inc. Common Stock,Technology,Electrical Products
CETY,Clean Energy Technologies Inc. Common Stock,Consumer Discretionary,Metal Fabrications
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,Finance,Finance/Investors Services
CEVA,CEVA Inc. Common Stock,Technology,Computer Software: Programming Data Processing
CF,CF Industries Holdings Inc. Common Stock,Industrials,Agricultural Chemicals
CFBK,CF Bankshares Inc. Common Stock,Finance,Major Banks
CFFI,C&F Financial Corporation Common Stock,Finance,Major Banks
CFFN,Capitol Federal Financial Inc. Common Stock,Finance,Savings Institutions
CFG,Citizens Financial Group Inc. Common Stock,Finance,Major Banks
CFG^E,Citizens Financial Group Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series E,,
CFG^H,Citizens Financial Group Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.375% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series H,,
CFG^I,Citizens Financial Group Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 6.500% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series I,,
CFR,Cullen/Frost Bankers Inc. Common Stock,Finance,Major Banks
